[Mon May 04 15:34:47 CEST 2026][INFO] 108: Breite: 1176, Höhe: 664 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 109: Breite: 1176, Höhe: 664 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 110: Breite: 1176, Höhe: 664 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 111: Breite: 1176, Höhe: 664 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 112: Breite: 1176, Höhe: 664 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 113: Breite: 1176, Höhe: 664 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 114: Breite: 1176, Höhe: 664 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 115: Breite: 1176, Höhe: 664 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 116: Breite: 1176, Höhe: 664 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 117: Breite: 1176, Höhe: 664 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 118: Breite: 1176, Höhe: 664 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 119: Breite: 1176, Höhe: 664 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 120: Breite: 1176, Höhe: 664 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 121: Breite: 1176, Höhe: 664 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 122: Breite: 1176, Höhe: 664 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 123: Breite: 1280, Höhe: 720 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 124: Breite: 1280, Höhe: 720 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 125: Breite: 1280, Höhe: 720 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 126: Breite: 1280, Höhe: 720 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 127: Breite: 1280, Höhe: 720 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 128: Breite: 1280, Höhe: 720 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 129: Breite: 1280, Höhe: 720 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 130: Breite: 1280, Höhe: 720 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 131: Breite: 1280, Höhe: 720 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 132: Breite: 1280, Höhe: 720 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 133: Breite: 1280, Höhe: 720 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 134: Breite: 1280, Höhe: 720 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 135: Breite: 1280, Höhe: 720 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 136: Breite: 1280, Höhe: 720 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 137: Breite: 1280, Höhe: 720 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 138: Breite: 1280, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 139: Breite: 1280, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 140: Breite: 1280, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 141: Breite: 1280, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 142: Breite: 1280, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 143: Breite: 1280, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 144: Breite: 1280, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 145: Breite: 1280, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 146: Breite: 1280, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 147: Breite: 1280, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 148: Breite: 1280, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 149: Breite: 1280, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 150: Breite: 1280, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 151: Breite: 1280, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 152: Breite: 1280, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 153: Breite: 1280, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 154: Breite: 1280, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 155: Breite: 1280, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 156: Breite: 1280, Höhe: 800 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 157: Breite: 1280, Höhe: 800 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 158: Breite: 1280, Höhe: 800 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 159: Breite: 1280, Höhe: 800 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 160: Breite: 1280, Höhe: 800 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 161: Breite: 1280, Höhe: 800 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 162: Breite: 1280, Höhe: 800 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 163: Breite: 1280, Höhe: 800 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 164: Breite: 1280, Höhe: 800 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 165: Breite: 1280, Höhe: 800 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 166: Breite: 1280, Höhe: 800 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 167: Breite: 1280, Höhe: 800 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 168: Breite: 1280, Höhe: 800 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 169: Breite: 1280, Höhe: 800 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 170: Breite: 1280, Höhe: 800 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 171: Breite: 1280, Höhe: 800 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 172: Breite: 1280, Höhe: 800 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 173: Breite: 1280, Höhe: 800 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 174: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 175: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 176: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 177: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 178: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 179: Breite: 1280, Höhe: 960 (Fenster.java:206)
